title;name;location;requirements;language_req;sector;salary
Mezõgazdasági kárszakértõ (16-1658); ;Országosan bárhonnan végezhetõ;Mezõgazdasági kárszakértésben szerzett tapasztalat,Országos munkavégzés vállalása,Egyéni vállalkozók jelentkezéseit is várjuk.;Nem igényel nyelvtudást; ;
Termelési anyagkezelõ;Manz Hungary Kft;4031 Debrecen, Határ út 1.;Fémiparban szerzett szakmai tapasztalatRaktározási tapasztalatTargoncakezelõi végzettség2 mûszakos munkarend vállalása;Nem igényel nyelvtudást;Szakmunka;
CNC elõkészítõ;Manz Hungary Kft;4031 Debrecen, Határ út 1.;Középiskolai (gépipari) végzettség3 mûszakos munkarend vállalásaMinõségi munkavégzésCsapatmunkára való készségLojalitás, megbízhatóság;Nem igényel nyelvtudást;Fizikai;
Bérszámfejtõ és TB ügyintézõ;FUNDUS INVEST Kft.;4200 Hajdúszoboszló, József Attila utca 5-7.;bérszámfejtõi és TB ügyintézõi végzettségminimum 2 év hasonló munkakörben szerzett tapasztalatjogszabályi változások naprakész ismeretefelhasználói szintû számítógépes ismeretekprecíz, pontos munkavégzés, határidõk betartása;Nem igényel nyelvtudást;Adminisztráció;
Ügyviteli koordinátor;KITE Zrt.;Nádudvar;befejezett felsõfokú gazdasági végzettséggel rendelkezik,minimum 2 éves tapasztalatát hasonló területen szerezte,magabiztosan használja az Office programokat (különösen Word, Excel),jó kommunikációs- és jó kapcsolatteremtõ képességgel rendelkezik,az angol nyelvet alapszinten ismeri,megbízható,munkáját pontosan, precízen és körültekintõen végzi.;Angol alapfok;Pénzügy;
Értékcsomag kezelõ (Debrecen);MPT Security Zrt.;4030 Debrecen, Monostorpályi út 35.;Alapfokú végzettségErkölcsi bizonyítványAlapos, precíz munkavégzésB kategóriás jogosítványVagyonõri végzettség (megszerzését támogatjuk)Fegyvervizsga (megszerzését támogatjuk);Nem igényel nyelvtudást;Szakmunka;
Payroll specialist - 2 moths fixed term;Sophos Hungary Kft.;Anywhere nationwide;Strong payroll and benefits knowledge across international payrollsWorking with outsourced payroll providers and managing elements of the payroll process in accordance with local payroll complianceExtensive technical international payroll experienceImproving processes and controlsExperience in working with payroll systems and HR business partnersWorking within a highly sales driven and fast moving cultureWorking with SAP HRIS, ADP Streamline, SDWorxExcellent communication in both English and GermanUniversity degree or equivalent experience;Angol felsõfok;HR;
Area manager;Avanzo-Trade Kft.;Országosan bárhonnan végezhetõ; ;Angol középfok;Értékesítés;
Csomagoló és árukiszedõ;ELEKTRIKER MASTER Kft.;4030 Debrecen, Budai Ézsaiás utca 8b.;RugalmasságTerhelhetõségPrecizitás, pontos munkavégzésKulturált megjelenésMegbízhatóság, önállóságSzámítógép ismeret;Nem igényel nyelvtudást;Fizikai;
Értékesítõ / Kereskedelmi üzletfejlesztõ;IGEPA 2R Kft.;Országosan bárhonnan végezhetõ;Kereskedõi beállítottság és tapasztalatReklámdekorációs iparág területén szerzett tapasztalat, piacismeretTovábbképzésre való készségIrodai szoftverek készségszintû ismereteÖnálló, pontos, megbízható munkavégzésB kategóriás jogosítványGépjármûvezetõi gyakorlat;Nem igényel nyelvtudást;Értékesítés;
Német Ügyfél Kapcsolattartó; ;Otthonról végezhetõ;Várjuk pályázatodat, ha felsõfokú német nyelvtudással rendelkezel, mert napi szinten kell használnod a nyelvet,Középfokú végzettséggel rendelkezel (gazdasági területen szerzett felsõfokú végzettség elõny),1 év pénzügyi területen szerzett ügyfélszolgálati vagy adminisztratív tapasztalat elõny, de nem feltétel, pályakezdõk jelentkezését is várjuk,Jól kommunikálsz szóban és írásban, koncentrált és precíz munkavégzés jellemez,Önálló, megbízható és csapatjátékos személyiséggel rendelkezel.;Német felsõfok; ;
Raktári munkatárs; ;4030 Debrecen, Kaskötõ utca 2.;középfokú végzettség,4-6 vagy 8 órás állandó délutános munkarend vállalása hétfõtõl péntekig,kiemelkedõ monotonitástûrõ képesség,felelõsségteljes, pontos, megbízható munkavégzés, mert gyógyszerekkel dolgozunk, amiknek a megfelelõ idõben a megfelelõ helyre kell érkezniük nap, mint nap.;Nem igényel nyelvtudást;Szakmunka;
Finance assistant; ;Anywhere nationwide;To qualify as a champion for every child, you will have0-1 years of relevant work experience in administration and finance if supplemented by an accredited university degree. IMPORTANT: In the absence of completed university degree 4-5 years of relevant experience is required.University level courses in finance, accounting or business are desirable.Working knowledge of the Microsoft Suite of Products (MS Word, MS Excel and MS PowerPoint) is required.Strong focus on accuracy and consistency, with strong analytical, data extraction and reporting skills is required. Proven ability to deal with confidential and sensitive communication and information and logical thinking are required.;Angol felsõfok;Adminisztráció;Nettó 375e - 490e Ft havi bér
Intermediate Full Stack Java Developer - React Or Angular (GYT); ;Home Office;Degrees: BSc in IT related fields IT skills (in details with required levels, years of experience): 4+ years of experience of developing backend application using core Java 8,Spring or Spring Boot experienceExtensive knowledge on RESTful APIs and microservices architectures. Event driven architecturesAny good experience with SQL and noSQL databasesSecondary requirement 2-3 years of experience developing frontend web application using Javascript or Typescript with HTML, CSS. Preferable knowledge on Node.JS, Angular or React.Experience with DevOps practices and tools, CICD and Infrastructure-as-Code solutionsExperience in the execution of certain tasksSoftware development, testing and documentation (3+ years)Software architecture and UI/UX design (1-2 years +)Confident English language;Angol középfok;IT Fejlesztés;
Kommunikációs/Tartalommenedzser;Aquaticum Debrecen Kft.;4032 Debrecen;"Érdeklõdõ, tanulni vágyó személyiség;Kiváló helyesírási és fogalmazási készség;Kiemelkedõ kommunikációs készség és kreativitás;Csapatban és egyénileg is megbízható, precíz, pontos, felelõs munkavégzés.";Angol középfok;Marketing;
Fejlesztési csapatvezetõ; ;Debrecen;legalább 3 év szakmai tapasztalat hasonló pozícióbanfelsõfokú angol nyelvtudáskiváló kommunikációs készségáltalános szoftver és hardware ismeretekagilis módszertan ismeretescrum keretrendszer ismeretstrukturált gondolkodásmód, jó problémamegoldó készség;Nem igényel nyelvtudást;IT Fejlesztés; 
Intermediate Automation Tester - Quality Engineer (ET38); ;Home Office;3-4 Years of Development and Support Experience ConsultantsIn-depth test levels, test types, defect lifecycle and CI/CD pipelineExtensive experience with Java, Javascript and AngularJSFamiliarity with HTML, XML, CSS, Jenkins, REST and BDD (Gherkin)Experience in Selenium, GIT and Protactor or CypressExperience in all phases of SDLC of TestingWorking knowledge of test management softwarePower user knowledge of modern operating systems and IT networks/ infrastructureUnderstand the data model and DesignUse test automation frameworksExcellent oral and written communication skills in EnglishThe candidate needs to be currently eligible to work in Hungary;Angol felsõfok;Mérnök;
Festõ-elõkészítõ;Manz Hungary Kft;4031 Debrecen, Határ út 1.;Szakmunkás végzettségDarukezelõi és teherkötözõi végzettségPontosság, precizitásMinõségi munkavégzésMegbízhatóság3 mûszakos munkarend vállalása;Nem igényel nyelvtudást;Fizikai;
Sourcing recruiter; ;Anywhere nationwide;Proactivity and can-do attitudeFantastic interpersonal and communication skillsEase at communicating with stakeholdersFluency in Dutch and English;Angol felsõfok;HR;
Bírósági fogalmazó;Országos Bírósági Hivatal;Országosan bárhonnan végezhetõ;A bírósági fogalmazói állásokat az igazságügyi alkalmazottak szolgálati jogviszonyáról szóló 1997. évi LXVIII. törvény (a továbbiakban: Iasz.) 14. § (6) bekezdése alapján nyilvános pályázat útján kell betölteni, kivéve, ha az állás betöltésére az Iasz. 17. § (3) bekezdésének alkalmazásával már kinevezett bírósági fogalmazó áthelyezésével kerül sor. A bírósági fogalmazói állásokra azok a cselekvõképes magyar állampolgárok pályázhatnak, akik legkésõbb a szóbeli versenyvizsga idõpontjában egyetemi állam- és jogtudományi diplomával rendelkeznek, és hatósági bizonyítvánnyal igazolják azt a tényt, hogy az Iasz. 11. § (4) és (5) bekezdésében meghatározott körülmény velük szemben nem áll fenn.Írásbeli versenyvizsga idõpontja:2022. szeptember 12. napja.Szóbeli versenyvizsga idõpontja:2022. szeptember 26. napja.A pályázatok elbírálásának határideje:2022. október 31. napja.Az állások betöltésének idõpontja:2022. november 14. napja;Nem igényel nyelvtudást;Jog;
Eladó;Dockyard Islands Kft.;Budapest, Biatorbágy, Pécs, Siófok, Debrecen;érettségi vizsga vagy szakirányú kereskedelmi végzettségmagas fokú vevõorientáltságápolt, igényes megjelenés;Nem igényel nyelvtudást;Szakmunka;
Gépbeállító-karbantartó;NEOPAC Hungary Kft.;4031 Debrecen, Hoffmann utca;Középfokú mûszaki végzettség,Minimum 2 éves szakmai tapasztalat,Nagyfokú precizitás, önállóság,Nagy munkabírás, terhelhetõség,Folyamatos munkarend vállalása (12 órás mûszakok).;Nem igényel nyelvtudást;Szakmunka;
Karbantartó munkatárs;NEPÁL SZERVIZ Épületfenntartó, Szervizelõ, Karbantartó, Építõ Kft.;4030 Debrecen, Fokos utca 14.;"Elvárások: - pontos, megbízható, lelkiismeretes munkavégzés; - határozottság, jó problémamegoldó képesség;- együttmûködési készség;- rugalmasság és terhelhetõség;- ""B"" kategóriás jogosítvány.";Nem igényel nyelvtudást;Szakmunka;
Call Center - Prémium biztosítás szakértõ;AtlaszCall;Országosan bárhonnan végezhetõ;Diploma (fõiskola, Egyetem) vagy Biztosítás közvetítõi hatósági vizsga megléte alapfeltétel!Jó kommunikációs készségLogikus és felelõs gondolkodásExcel, Word legalább alapfokú ismereteÖnálló döntési képességErkölcsi bizonyítvány;Nem igényel nyelvtudást;Értékesítés;Nettó 280e Ft havi bér
Építésvezetõ mérnök;EVBAU Kft.;Országosan bárhonnan végezhetõ;Építõ- vagy építészmérnöki felsõfokú végzettségAngol vagy német nyelvtudásFelhasználói szintû számítástechnikai ismeretekRugalmasságCsapatmunkában való gondolkodásB kategóriás jogosítvány;Angol középfok;Mérnök;
Elektronikai mûszerész;DIGITROLL KFT.;4200 Hajdúszoboszló;Szakirányú középfokú végzettségLegalább 1-3 év releváns munkatapasztalatExcel, Word ismereteA feladatkörébe tartozó tevékenységek színvonalas teljesítéseA feladatainak megszabott határidõre elvégzése,A Munka Törvénykönyvében megfogalmazott feladatok és követelmények teljesítéseMonotónia tûrése, precíz, pontos, alaposKreatív, megoldáskeresõ személyiség;Nem igényel nyelvtudást;Szakmunka;
Területi képviselõ-üzletkötõ;OCEAN FOOD Kft;Budapest / Debrecen / Balaton;Gimnáziumi végzettség.Pozitív hozzáállás, sikerorientáció, proaktivitás és kezdeményezõ szemlélet.Tökéletes üzleti, kommunikációs és tárgyalási készség.Rugalmasság és képesség a stressz kezelésére.Legalább 2 éves tapasztalat értékesítési képviselõként.Képesség önállóan és csapatban dolgozni.Számítógépes ismeretek felhasználói szinten.B. vezetõi engedélyTapasztalat a gasztronómia területén.;Nem igényel nyelvtudást;Értékesítés;
Nappali ellátás vezetõ (Hosszúpályi);Baptista Tevékeny Szeretet Misszió;4274 Hosszúpályi, Bagosi utca 74.;Olyan személyt keresünk, aki céltudatos, határozott, szakmai tapasztalat és vezetõi készségek birtokában menedzseli a munkatársak szakmai munkáját és az intézmény mûködését. Mindemellett az adminisztráció naprakész vezetése, munkatársak beosztásának tervezése, továbbá a más szociális intézményekkel, önkormányzatokkal történõ kapcsolattartás sem okoz gondot. Intézményünk kapui egész évben, minden nap nyitva várják a klienseinket. A nappali ellátás vezetõ effektív hétvégén nem végez munkát, de ha úgy alakul helyettesít terápiás munkatársat hétvégén. A minõségi ellátás mûködésének szakmai támogatása napi feladat, valamint az intézmény vezetése során a gazdaságossági szempontok figyelembevétele. A nappali ellátás vezetõ munkájával hozzájárul az intézmény ellátotti létszámának sikeres feltöltéséhez, majd szinten tartásához.;Nem igényel nyelvtudást;Egészségügy;
Orvosi eszköz forgalmazó területi képviselõ;MICROMEDICAL Kft.;Országosan bárhonnan végezhetõ, Egyéb külföld;„B” kategóriás jogosítvány, vezetési tapasztalatMegfelelõ számítástechnikai ismeretek (MS Office)Kiváló kommunikációs és kapcsolatteremtõ készségPrecíz, alapos munkavégzésAngol nyelv ismerete a termékek elsajátításához, továbbképzéshez;Angol alapfok;Értékesítés;
Mérnök értékesítõ - Robotika (Nyugat-Magyarország); ;Országosan bárhonnan végezhetõ;Legalább 3 éves tapasztalat B2B sales területen, technikai környezetben (automatizáció, mérnöki szolgáltatások, project sales)Angol nyelvtudás elõnyMS Office magabiztos használataKiváló kommunikációs és probléma megoldó képesség;Angol középfok; ;
Karbantartó villanyszerelõ;Pipelife Hungária Kft.;Debrecen;villanyszerelõ szakmunkás végzettség 2 év ipari termelõ vállalatnál szerzett szakmai tapasztalat;Nem igényel nyelvtudást;Szakmunka;
Gépbeállító;Pipelife Hungária Kft.;Debrecen;szakirányú végzettség vagyhasonló munkakörben szerzett 2 év szakmai tapasztalat Pályakezdõk jelentkezését is várjuk!;Nem igényel nyelvtudást;Szakmunka;
Sales Development Representative;Shoprenter Kft.;4033 Debrecen, Kassai út 129.;Legalább 1 év értékesítésben szerzett releváns tapasztalat. Az alábbi 3 terület együttes teljesülését számítjuk relevánsnak:Telefonos értékesítésSzolgáltatás értékesítésB2B értékesítésMagas fokú kommunikációs képesség szóban és írásban.Nyitottság az új dolgokra, tanulásra, önismeretre.Fókuszált munkavégzés.Kitartó, eredményorientált személyiség.Haladó MS Office felhasználói tudás.;Angol középfok;Értékesítés;
Mûszakvezetõ pultos;Onish Kft.;Polgár;Van tapasztalatod a vendéglátásbanPályakezdõ vagy pályamódosító vagy és nincs még tapasztalatod a vendéglátásban, de szívesen elsajátítanád a vendéglátás fortélyaitSzereted a pörgést és szívesen dolgozol egy lendületes csapat tagjakéntAttitûdöd pozitívHozzáállásod proaktívGyors tanulási készséggel és jó problémamegoldó képességgel rendelkezelMunkádat precízen, lelkiismeretesen végzedIgényes vagy környezetedre, ott tisztaságot és rendezettséget teremteszRugalmas vagy: munkavégzés változó mûszakokban és hétvégén isVendéglátás szintû az angol nyelvtudásodDinamikus egyéniség vagyHatározott kiállással és energikus személyiséggel bírszHosszú távú karrierépítés céljára keresel munkahelyetJó problémamegoldó készséggel rendelkezelTerhelhetõ és stressz tûrõ, rugalmas személyiség vagyRendelkezel a szakmai fejlõdés iránti igénnyel és képességgel;Angol alapfok;Szakmunka;Bruttó 2 400 Ft/óra bér
Termeltetési és fejlesztési koordinátor;KITE Zrt.;Nádudvar;"felsõfokú agronómiai végzettséggel rendelkezikmezõgazdasági tevékenységben szerzett 3-5 év szakmai tapasztalatotaz angol nyelvet társalgási szinten beszéli,„B"" kategóriás jogosítvánnyal rendelkezik és van vezetési rutinja ismobilismegbízhatóan, pontosan és következetesen végzi munkájátjól kommunikál és hatékonyan tud együttmûködni leendõ kollégáival és partnereivel Munkavégzés helye:Nádudvaron, a KITE Zrt. Központjában, illetve a feladatok jellegétõl függõen külsõ helyszínen.";Angol alapfok;Mérnök;
Kerékpár Sporttanácsadó (Debrecen);Decathlon;4002 Debrecen, Balmazújvárosi út 11.;a mountain bike, bmx, városi vagy épp az országúti kerékpározás szerelmese vagyszívesen elmélyülnél a kerékpár beállítás rejtelmeibenhobbi szinten vagy rendszeresen ûzöd sportodatszereted az innovatív eszközöket és az „okos” megoldásokatfelelõsségteljes vagy és megtalálod a közös hangot mindenkivelnyitottan állsz az újdonságokhoz és vitális személyiség vagyszívesen dolgoznál egy sokszínû csapatban, ahol támogatják, hogy hitelesen önmagad tudj lenni és ahol a csapattagok tisztelik egymástszereted a csapatmunkát és hiszel a megfelelõ véleménymegosztás erejébenszívesen dolgoznál napi 6 órás munkaidõben, hétvégén is;Nem igényel nyelvtudást; ;
Autószerelõ;Hovány Csoport;Debrecen;Szakirányú autószerelõi végzettségetMinimum 2-5 éves releváns szakmai tapasztalatotÖnálló, felelõsségteljes, precíz, pontos munkavégzéstB kategóriás jogosítványtFelhasználói szintû számítástechnikai ismereteket;Nem igényel nyelvtudást; ;
Raktáros;MST Engineering Kft.;4031 Debrecen, Richter Gedeon utca 15.;• Felhasználói szintû számítógépes ismeretek• Megoldás orientált gondolkodásmód• Önálló, precíz munkavégzés, megbízhatóság• Targonca vezetõi jogosítvány• Kétmûszakos munkarend vállalása;Nem igényel nyelvtudást;Fizikai;
Szoftverfejlesztõ;R-Szoft Kft.;Otthonról végezhetõ;A következõkben való tapasztalat :Java 8, 11, Spring framework Gradle Docker, Kubernetes, Helm Unit testing SOAP, REST;Angol középfok;IT Fejlesztés;"Bruttó 800e - 1,6M Ft havi bér


"
Diákmunka - Home Working English Customer Service;MÛISZ Szolgáltató Iskolaszövetkezet;Home office;Active or passive student status (full-time studies)English language knowledge (at least B2 level)Computer knowledge including Social Media platforms and InternetOrganised, accurate, with ability to multi-taskExcellent written and verbal communication;Angol középfok;Ügyfélszolgálat; 
Diákmunka - Marketing koordinátor asszisztens;MÛISZ Szolgáltató Iskolaszövetkezet;Debrecen;•Folyamatban lévõ felsõfokú szakirányú tanulmányok.•Magas szintû, magabiztos angol nyelvtudás.•Önálló, pontos, precíz munkavégzés. •Stressztûrõ és problémamegoldó képesség.Releváns szakmai tapasztalat.Elõnyt jelent egy második idegennyelv ismerete.;Angol középfok;Marketing; 
Napelem szerelõ;Green-Home Technologies Kft;Országosan bárhonnan végezhetõ;Mobilitás országos munkavégzésreTetõn való munkavégzés képességeMaximális együttmûködés a csapatvezetõvel és a csapattagokkalLehetõleg budapesti vagy környéki lakhely;Nem igényel nyelvtudást;Fizikai;Nettó 400e - 500e Ft havi bér
Villanyszerelõ;TÓTH SOLAR Kft.;Országosan bárhonnan végezhetõ; ;Nem igényel nyelvtudást;Szakmunka;
Betanított operátor;Róna Dohányfeldolgozó Kft.;4030 Debrecen, Vámraktár utca 1.;Ahhoz, hogy felvételt nyerj, az alábbiakat kérjük tõled:a munkakör betöltése szakképesítéshez nem kötött, de minimális feltétel a befejezett 8. általános iskolai végzettség,elvárjuk, hogy vegyél részt a belsõ betanítási folyamatokban, ezzel elõrelépést teremthetsz magad számára, mind pozícióban, mind bérezésbenmivel a cégünk stabil gazdasági alapokkal rendelkezik, a folyamatos megrendelés állományának köszönhetõen 3 mûszakos munkarendben dolgoznak az üzemben a kollégáink, ezt neked is vállalni kellmunkatársainkat a magára és környezetére igényes, közösségben dolgozni tudó és akaró jelentkezõk közül választjuk kiállóképesség, csapatmunka, koncentrálókészség;Nem igényel nyelvtudást;Fizikai;
Asztalos;Drspeed Kft.;4031 Debrecen, Köntösgát sor;- B kategóriás jogosítvány, aktív vezetõi tapasztalattal- asztalos ipari gépek szakszerû, biztonságos  használata- 1-2 év szakmai tapasztalat - precíz, minõségi munkavégzés- ügyfélbarát hozzáállás és szemlélet;Nem igényel nyelvtudást;Szakmunka;
Szakorvoslátogató;Q PHARMA KFT.;Rugalmas munkavégzési hely - Bács-Kiskun megye, Csongrád-Csanád megye, Gyõr-Moson-Sopron megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Vas megye, Zala megye;"orvos, gyógyszerész, fogorvos, biológus, biomérnök, vegyészmérnök, diplomás ápoló vagy egyéb egészségügyi fõiskolai végzettség;Több terápiás területen is van kapcsolatuk (nõgyógyászat, urológia, bõrgyógyászat, allergológia /FOG, PULMO, GP, gyerekgyógyászat)Gépjármû-vezetõi engedély és vezetési tapasztalat;Felhasználói szintû számítógépes ismeretek;Meggyõzõ fellépés, határozott személyiség;Jó kommunikációs és kapcsolatteremtõ készségminimum 3 év szakmai tapasztalat";Nem igényel nyelvtudást;Egészségügy;
Gépkocsi vezetõ;ERA-SPED Kft.;Debrecen;Munkavégzésre alkalmas egészségi állapotÉrvényes személyes okmányokC+E kat. jogosítványGKI, digitális tachográf kártya;Nem igényel nyelvtudást;Szakmunka;Nettó 650e - 750e Ft havi bér
Gyártásvezetõ operátor;Nagyhegyesi TAKARMÁNY Kft.;4064 Nagyhegyes;Min. középfokú, mûszaki szakirányú végzettségMin. középfokú számítógépes ismeretPrecíz munkavégzés, technológiai és élelmiszerbiztonsági fegyelem8-órás mûszakos munkarend vállalása;Nem igényel nyelvtudást;Gyártás;
Tanácsadó/Executive search; ;Debrecen;Executive search módszertan ismerete és ebben szerzett releváns tapasztalatFelsõfokú végzettségSzellemi toborzási projektek koordinálásában szerzett tapasztalatKommunikációképes angol nyelvtudásEgyüttmûködés, rugalmasság, kiváló kommunikációs és ügyfélkezelési képességProaktív, energikus, határozott személyiségMotiváltság, csapatszellem;Nem igényel nyelvtudást;HR; 
Épületkarbantartó;HUNGAROTARG KFT.;4030 Debrecen, Vágóhíd utca 3.;Szakképzettséget nem igényel. Megbízható, becsületes munkatársat keresünk.;Nem igényel nyelvtudást;Fizikai;
E-kategóriás gépkocsivezetõ;CHEVIGEN Kereskedelmi és Szolgáltató Korlátolt Felelosségu Társaság;Országosan bárhonnan végezhetõ, Csehország, Szlovákia;E-kategóriás jogosítvány, PÁV, GKI.;Nem igényel nyelvtudást;Szakmunka;
Területi Kereskedelmi Vezetõ;East Milk Kft.;Rugalmas munkavégzési hely - Békés megye, Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye;Minimum középfokú végzettségTapasztalat hasonló értékesítési feladatok végzésébenTerepen és ügyfelekkel végzett munkára való hajlandóság és készségSzámítógépes felhasználói gyakorlatban is használt ismeretek, kiemelten Excel, WordB kategóriás gépjármû-vezetõi engedélyA munkája során már korábban is használt, tárgyalási, lezárási és problémamegoldó készségÖnállóság, kitartó, sikerorientált gyakorlatias gondolkodásÖnbizalom, képesség új ügyfelekkel történõ tárgyalási körülmények kialakításáraNyitott az újításokra, változtatásokraAz ügyfelek igényeinek hatékony meghatározása, a megfelelõ megoldás kidolgozásaA meghatározott területen élõ kapcsolatrendszer;Nem igényel nyelvtudást;Értékesítés;
Telefonbank és Bankkártya Ügyfélszolgálati Munkatárs - Siófok, Kecskemét, Szombathely, Zalaegerszeg, Debrecen;UniCredit Bank Zrt.;Siófok, Kecskemét, Szombathely, Zalaegerszeg, Debrecen;Önnállóan és csapatmunkában is, precízen, pontosan szeretsz és tudsz dolgozni.Ügyfélorientált gondolkodásod jó problémamegoldó képességel párosul.Biztos vagy magadban ami az elkötelezõdésre való képességet illeti.Örömödet leled az újonnan felmerülõ problémák közös megoldásában.Érdekelnek a banki digitális újdonságok, fejlesztések.;Angol középfok;Ügyfélszolgálat;
Nyomdász / Nyomdai gépkezelõ;NEOPAC Hungary Kft.;4031 Debrecen, Hoffmann utca 1.;Szakirányú végzettség (nyomdaipari) vagy mûszaki végzettségMin. 1 év nyomdai tapasztalat,Nyitottság az új technológiákra, tanulni vágyás,Dinamizmus, önállóság,Színlátás,Folyamatos munkarend vállalása: 12 órás mûszakok;Nem igényel nyelvtudást;Szakmunka;
Esztergályos;STORKER Kft.;4031 Debrecen;Szakirányú végzettség.2-3 év tapasztalat (lehetõleg köszörülésben, marásban).2 mûszakos munkarend vállalása.Precíz, felelõsségteljes munkavégzés.;Nem igényel nyelvtudást;Szakmunka;
Területi képviselõ/Üzletkötõ; ;Országosan bárhonnan végezhetõ, Budapest, Bács-Kiskun megye, Baranya megye, Békés megye, Borsod-Abaúj-Zemplén megye, Csongrád-Csanád megye, Fejér megye, Gyõr-Moson-Sopron megye, Hajdú-Bihar megye, Heves megye, Jász-Nagykun-Szolnok megye, Komárom-Esztergom megye, Nógrád megye, Pest megye;minimum középfokú mûszaki végzettségB kategóriás jogosítványjó kommunikációs, kapcsolatteremtõ képességüzleti szemlélet, ügyfélközpontúság, profi problémakezelésnyitottság, terhelhetõség, szakmai kihívások szeretetemegbízható, gyors, pontos munkavégzéscsapatban való együttmûködés, hajlandóság a fejlõdésre;Nem igényel nyelvtudást;Értékesítés; 
Fuvarszervezõ speditõr;TT SPED Kft.;4176 Sáp;Jó kommunikációs-, kapcsolatteremtõ- és szervezési készségTárgyalóképes Angol vagy Német nyelvtudásProblémamegoldó szemléletÖnállóságMegbízhatóságHatározott fellépésEgyüttmûködési készség;Angol középfok;Szállítás;
Élelmiszeripari gépkezelõ;Nagyhegyesi TAKARMÁNY Kft.;4064 Nagyhegyes;Termelésben, gépkezelésben szerzett tapasztalat, középfokú végzettségPrecíz munkavégzés, technológiai és élelmiszerbiztonsági fegyelem8-órás mûszakos munkarend vállalása;Nem igényel nyelvtudást;Fizikai;
Targoncavezetõ;Nagyhegyesi TAKARMÁNY Kft.;4064 Nagyhegyes;Érvényes targoncavezetõi engedélyPrecíz munkavégzés, technológiai és élelmiszerbiztonsági fegyelem8-órás mûszakos munkarend vállalása;Nem igényel nyelvtudást;Fizikai;
CNC esztergályos;DEBRECENI MECHANIKAI MÛVEK Kft.;4030 Debrecen;- Szakirányú végzettség,- 2-3 év releváns szakmai tapasztalat,- Mûszaki rajz olvasás,- Programozási ismeret (NCT, Fanuc)- Megfelelõ fizikai teherbírás,- Jó problémamegoldó képesség- A munkavégzésben pontosság, igényesség, szorgalom.;Nem igényel nyelvtudást;Szakmunka;
Pénztáros megváltozott munkaképességû (heti 20 óra - Debrecen); ;4002 Debrecen, Balmazújvárosi út 9.;Neked is fontos, hogy vásárlóink elégedetten távozzanak üzletünkbõlÉlvezed, hogy a napjaid mozgalmasan telnekNyitott személyiség vagy, és szeretsz emberekkel foglalkozniPontosan, precízen és felelõségteljesen végzed a munkádFigyelmes, udvarias és segítõkész vagy;Nem igényel nyelvtudást;Szakmunka;
Bér- és tb ügyintézõ; ;Debrecen, Kecskemét;Bérszámfejtésben szerzett 3-5 év tapasztalatTB kifizetõhelyi tapasztalatTB és Bérügyintézõ OKJ végzettségMicrosoft Office programcsomag ismereteNexon Program ismerete elõnyt jelenthetBér és humánügyviteli / ügyfélszolgálati tapasztalat elõnyt jelenthet;Nem igényel nyelvtudást;HR;
Gondnok;Kabinet FM Zrt.;4031 Debrecen;Megváltozott munkaképességPontos, megbízható, önálló munkavégzés;Nem igényel nyelvtudást;Fizikai;
Minõségellenõrzés;ARMIN TRADE Kft.;Rugalmas munkavégzési hely - Hajdú-Bihar megye;Elektronikai és villamos alapismeretekkel rendelkezelPrecizitás, megbízhatóság, terhelhetõség jellemezÖnállóan és csapatban is megállod a helyed;Nem igényel nyelvtudást;Gyártás;
Villanyszerelõ;NAT Hungária Villamos Szereléstechnikai Kft.;4063 Debrecen;- Szakirányú végzettség- B típusú jogosítvány- Önállóság, terhelhetõség;Nem igényel nyelvtudást;Szakmunka;Bruttó 366e - 395e Ft havi bér
Digitális marketing menedzser;Face Média Kft;4029 Debrecen;-Google Analytics ismerete-Google Ads ismerete-Facebook és Instagram hirdetési rendszer ismerete-PPC területen szerzett jártasság-Precíz, pontos munkavégzés-MS Office programok haladó ismerete (Excel, PowerPoint, Word)-Kiválló problémamegoldó készség-Angol nyelv középfokú ismerete-Önálló munkavégzés-Proaktív személyiség;Angol középfok;Marketing;
Napelempark szerkezetépítõ;Energy-Factory Kft.;Országosan bárhonnan végezhetõ, Egyéb külföld;precíz munkavégzéscsapatorientáltságmegbízhatóságjó fizikai és mentális állapotfejlõdési és tanulási készség;Nem igényel nyelvtudást;Fizikai;
Diákmunka - Digitális Marketing Gyakornok;MÛISZ Szolgáltató Iskolaszövetkezet;Budapest, Távmunka V. kerület;-Tapasztalat digitális hirdetésekben és keresõoptimalizálásban-Hatékony angol nyelvû kommunikáció-Könnyen elnavigálsz bármilyen digitális termékben-Tapasztalat Google Office szoftverekkel-Érdekel a marketing iparág, esetleg az email marketing is-Heti 20-30 óra szabad idõ, minimum hat hónapon át;Angol középfok;Marketing; 
Raktáros;DEBRECENI MECHANIKAI MÛVEK Kft.;4030 Debrecen;középiskolai végzettségönállóság, precizitás, elhivatottság, szorgalom, csapatmunka képesség.számítógép felhasználói szintû ismeretektargoncavezetõi jogosítvány;Nem igényel nyelvtudást;Szakmunka;
